i, nrow, alfa, Max_It, b, W1, W2, W3, W4, Ite, Aciertos
7,398,0.2,4800,-22.507,-2.5967,37.77,-12.515,0.21709,39,2
8,399,0.2,4900,-17.375,-1.5412,27.648,-9.0084,-0.89982,29,2
9,400,0.2,5000,-13.425,-0.57747,20.896,-6.8201,0.23139,23,2
0,401,0.3,100,-8.2277,-2.3306,24.258,-8.1025,0.18214,18,2
1,402,0.3,200,-4.8092,-1.9093,15.512,-5.1263,0.71387,12,2
2,403,0.3,300,-19.355,-3.5728,56.025,-18.648,-0.10487,40,2
3,404,0.3,400,-4.8802,-0.73404,15.988,-5.8047,-0.53079,12,2
4,405,0.3,500,-5.347,-0.47301,16.078,-6.1275,0.099479,12,2
5,406,0.3,600,-8.1222,-0.65842,24.03,-8.0677,-1.2505,18,2
6,407,0.3,700,-20.077,-3.8696,56.361,-21.372,0.54363,40,2
7,408,0.3,800,-16.264,-3.401,47.916,-15.924,-0.089661,34,2
8,409,0.3,900,-19.319,-3.5735,56.427,-18.72,-1.3669,40,2
9,410,0.3,1000,-19.985,-3.6666,55.873,-18.488,-1.1804,40,2
0,411,0.3,1100,-20.236,-2.9425,56.741,-18.676,-1.3128,40,2
1,412,0.3,1200,-10.498,-1.3907,32.749,-11.142,-0.18096,23,2
2,413,0.3,1300,-19.667,-3.781,56.639,-18.664,-1.4343,40,2
3,414,0.3,1400,-18.802,-3.978,55.733,-18.578,-0.99711,39,2
4,415,0.3,1500,-5.0113,-1.3139,14.93,-5.57,-0.56284,12,2
5,416,0.3,1600,-16.346,-3.658,47.832,-15.736,-0.61158,34,2
6,417,0.3,1700,-18.669,-2.8215,56.221,-18.507,-0.097221,39,2
7,418,0.3,1800,-5.2963,-0.81866,15.417,-5.7378,0.39106,12,2
8,419,0.3,1900,-5.4502,-1.663,15.514,-5.6141,0.26072,12,2
9,420,0.3,2000,-19.429,-4.6632,56.763,-18.648,-0.5562,40,2
0,421,0.3,2100,-5.4406,-0.82277,15.443,-5.2909,-0.68508,12,2
1,422,0.3,2200,-5.2116,-0.70884,15.352,-5.3481,-0.35181,12,2
2,423,0.3,2300,-4.9657,-0.52255,16.375,-5.7279,-0.50172,12,2
3,424,0.3,2400,-16.175,-3.471,47.906,-15.746,-1.2797,34,2
4,425,0.3,2500,-5.5723,-0.22999,15.664,-5.5972,0.34468,12,2
5,426,0.3,2600,-11.15,-2.6981,32.606,-11.216,-0.24464,23,2
6,427,0.3,2700,-19.782,-3.5446,56.951,-18.961,0.039465,40,2
7,428,0.3,2800,-5.6052,-0.23113,15.137,-5.1077,0.85409,12,2
8,429,0.3,2900,-4.9708,-1.2195,15.546,-5.3075,0.8959,12,2
9,430,0.3,3000,-20.142,-3.3823,56.383,-21.368,0.16429,40,2
0,431,0.3,3100,-4.805,-0.52986,15.084,-5.0647,0.21793,12,2
1,432,0.3,3200,-10.998,-2.7117,32.776,-12.517,-0.55316,23,2
2,433,0.3,3300,-4.9282,-0.48819,16.578,-6.181,-0.1952,12,2
3,434,0.3,3400,-5.5145,-1.5518,16.631,-5.6356,0.95479,12,2
4,435,0.3,3500,-5.0955,-1.6176,15.526,-5.496,-0.26453,12,2
5,436,0.3,3600,-17.085,-3.3831,47.801,-18.229,0.33087,34,2
